Sample,CZ.1,CZ.2,CZ.3,CL1.1,CL1.2,CL1.3
Label,CZ,CZ,CZ,CL1,CL1,CL1
neg_10015_13alpha-(Tigloyloxy)lupanine,1.5097,1.9448,4.0719,0.319,0.1644,0.2525
"pos_1941_2-(dimethylamino)-1-(2,2-dimethyloxan-4-yl)ethan-1-ol",0.0721,0.0635,0.0406,0.0374,0.0225,0.0184
neg_3477_FA 18:1+3O,14.6772,12.0743,15.0426,14.9023,13.8041,9.7771
pos_16219_C00051168,0.0231,0.0292,0.0234,0.0032,0.0049,0.005
neg_9385_UNPD8637,0.0192,0.0082,0.0549,0.0223,0.0272,0.0107
neg_10028_Tricin 7-neohesperidoside,0.0072,0.0066,0.003,0.0621,0.0573,0.0214
neg_1003_4-ethylphenylsulfate,0.0356,0.0179,0.0322,0.0032,0.0038,5.00E-04
neg_879_D-(-)-Quinic acid; LC-ESI-QTOF; MS2; CE,4.0906,0.5307,0.4852,0.5334,6.0804,0.1903
pos_9808_Vestitone 7-glucoside,0.9571,0.7168,0.5265,0.9271,0.8162,0.8239
pos_16681_Abacopterin D;(+)-Abacopterin D,0.0059,0.0056,0.0052,0.0035,0.0051,0.002
"neg_10039_4'-Hydroxy-5,7,2'-trimethoxyflavanone 4'-rhamnosyl-(1->6)-glucoside",0.0227,0.0297,0.0443,0.0372,0.0335,0.0353
"neg_7545_3b,6a-Dihydroxy-alpha-ionol 9-[apiosyl-(1->6)-glucoside]",1.0834,1.0477,1.7713,0.4238,0.8098,0.1792
neg_2653_Demethoxyegonol,0.0207,0.0373,0.0227,0.0756,0.0948,0.0446
neg_10042_Thiomarinol F,0.0093,0.0141,0.0097,0.0527,0.0543,0.0451
neg_10828_UNPD191808,0.0662,0.2178,0.2517,0.0692,0.0359,0.0266
neg_1005_(2-Naphthalenyloxy)acetic acid,0.012,0.014,0.0119,0.0711,0.0578,0.0721
pos_2122_Tensyuic acid F;(-)-Tensyuic acid F,0.5807,0.6319,0.1532,0.7611,0.8319,0.4105
neg_9492_Hesperetin 7-neohesperidoside,0.0175,0.0402,0.0551,0.0448,0.0391,0.0178
neg_1006_(2-Naphthalenyloxy)acetic acid,0.0096,0.0062,0.0309,0.0111,0.026,0.0155
pos_5429_Moupinamide,0.2598,0.2813,0.0484,1.5271,1.8687,1.4742
neg_9150_Osmanthuside B,0.0111,0.0156,0.0232,0.0089,0.0084,0.0059
neg_8849_Podorhizol beta-D-glucoside,0.0593,0.0243,0.1045,0.0124,0.0075,0.0134
"neg_3510_3,3'-Dihydroxy-4',5,7-trimethoxyflavan",0.0941,0.134,0.1295,0.0706,0.0824,0.0428
pos_17950_Soyacerebroside I,2.4914,4.7969,4.3317,1.4924,2.5715,3.0052
pos_3212_Desacetyllaurenobiolide,0.0577,0.0961,0.0537,0.7353,0.5285,0.9233
neg_6658_Kelampayoside A,0.1692,0.1267,0.2385,0.0411,0.0461,0.0333
neg_10101_UNPD191054,0.3509,2.0168,1.6189,0.2634,0.0758,0.1268
pos_10919_L-Linalool 3-[xylosyl-(1->6)-glucoside],0.0598,0.1431,0.0574,0.0061,0.0045,0.0074
neg_10116_C00051002,0.0446,0.0321,0.1412,0.0378,0.0403,0.0303
pos_10370_Furcatin,0.2684,0.3172,0.5118,0.0557,0.0621,0.0486
"neg_10129_5-hydroxy-1-[4-hydroxy-2-(hydroxymethyl)-5-(piperidin-4-yloxy)phenyl]-7-{6-imino-3,5,7,12-tetraazatricyclo[10.3.1.1?,??]heptadecan-9-yl}heptan-3-yl acetate",0.0161,0.0427,0.0136,0.2592,0.1292,0.1757
pos_17224_UNPD212743,0.5615,0.2557,1.0148,0.1738,0.0786,0.255
"pos_13890_2,2,6b,9,9,12a,14a-heptamethyl-10,11-dipropanoyl-docosahydropicene-4a-carboxylic acid",0.3144,0.3658,1.2836,0.2049,0.2779,0.3193
