cluster,selected_feature,annotation_result,annotation_warning,cluster.size,source,Alignment.ID,Average.Rt.min.,Average.Mz,Adduct.type,level,Formula,Structure,Total.score,Final.score,Title,MS1.count,MSMS.count,PRECURSORMZ,PRECURSORTYPE,Theoretical.mass,Mass.error,Formula.score,Ontology,InChIKey,SMILES,Links,NW3.1,NW3.2,NW15.1,NW3.3,NW15_P.1,NW15_P.2,NW3_P.1,NW15.2,NW3_P.2,NW15.3,NW15_P.3,NW15.4,NW15.5,NW15_P.4,NW3_P.3,NW3_P.4,NW3.4,NW15_P.5,NW3_P.5,NW3_P.6,NW3.5,Blank.1,Blank.2,Blank.3,QC.1,QC.2,QC.3,QC.4,QC.5,MS.MS.spectrum
1,neg_871,Simple ID,Other possible annotated peaks for this cluster.,34,neg,871,19.345,648.6308,[M-H]-,generic,C42H83NO3,N-Lignoceroylsphingosine,5.2552,5.2552,Unknown,3,63,648.6308,[M-H]-,649.6372955,-0.0007809,2.584,Ceramides,ZJVVOYPTFQEGPH-UHFFFAOYNA-N,O=C(NC(CO)C(O)C=CCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCCCCCCC,"HMDB=HMDB0000831;HMDB0004956,ChEBI=CHEBI:72965,FooDB=FDB022272;FDB023543,BMDB=BMDB00831;BMDB04956,LipidMAPS=LMSP02010012,Feces=HMDB0004956,Serum=HMDB0004956,PubChem=5283571,UNPD=UNPD103468;UNPD146268;UNPD173957,BLEXP=BLEXPDB00005789754,COCONUT=CNP0213581",0.1358,0.3566,0.205,0.2364,0.1932,0.192,0.3349,2.151,2.4671,0.3638,0.0929,2.6861,0.2814,0.3346,0.1623,0.1392,0.1378,0.2184,0.3173,0.2817,0.277,0,0,0.0135,0.9566,1.7066,1.5662,1.3903,1.0755,75.5407:10 82.37737:42 84.90329:62 100.8552:93 113.19388:46 121.09852:29 126.35981:37 128.26384:62 157.17845:65 162.91594:51 173.16939:26 179.26402:21 179.72676:15 189.02151:12 191.61247:140 197.48187:13 203.1743:56 233.60762:56 237.01459:76 237.22202:128 245.10925:27 275.77267:83 281.17081:43 282.92233:11 303.34631:85 309.97021:15 320.60797:35 320.65311:35 325.7645:20 327.35602:23 330.44833:21 339.48737:25 413.77606:12 424.16742:262 424.21588:17 429.13779:22 439.33575:15 442.43347:51 486.2077:17 493.75504:10 515.08942:30 526.08667:82 530.74689:122 538.88751:51 538.95166:12 548.76801:176 556.34912:21 590.12433:32 601.59302:37 609.16364:54 612.39948:10 613.39484:83 617.20825:44 618.61768:69 619.63708:35 620.14685:58 645.30701:25 648.20715:48 648.36584:28 648.40173:14 648.62689:837 648.88739:52 649.09229:12
2,neg_984,Simple ID,Other possible annotated peaks for this cluster.,5,neg,984,14.209,689.41986,[M-H]-,generic,C39H63O8P,"PA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:1(9Z))",5.0186,5.0186,Unknown,3,58,689.4199,[M-H]-,690.4260556,-0.0011208,2.211,"1,2-diacylglycerol-3-phosphates",RJONHCGGNQWDMU-BNLRYIPXSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCC)COP(=O)(O)O)CCC=CCC=CCC=CCC=CCC=CCC=CCC,"HMDB=HMDB0115402,LipidMAPS=LMGP10010819",0.0896,0.1423,0.0735,0.2154,0.0974,0.1792,0.0946,0.1063,0.0682,0.0799,0.0504,0.0943,0.1033,0.0862,0.1452,0.0901,0.1034,0.0528,0.1251,0.1102,0.1274,0,0,0,0.1046,0.0976,0.1037,0.1002,0.1212,50.70855:41 64.36961:18 64.39288:50 67.1086:24 73.80684:23 96.99651:89 107.29933:13 132.42499:10 144.52841:32 158.60991:18 162.02544:241 162.25188:26 170.73627:35 171.787:43 199.35269:46 205.16187:13 241.21948:106 241.26187:18 244.78778:68 288.38068:81 296.83762:120 296.87045:18 318.13486:94 344.6633:23 375.65836:101 400.17514:139 413.24866:36 419.181:271 419.94147:25 427.49234:54 439.22058:183 439.27643:12 463.69147:17 500.62161:22 517.37335:13 527.44501:197 530.84406:18 552.31696:47 556.34253:35 568.04047:50 588.26099:29 608.92114:32 643.37769:49 683.70471:34 684.69739:25 684.82471:16 684.89612:25 685.63446:13 686.69971:14 688.5473:24 689.00592:18 689.22644:28 689.36176:29 689.47266:4712 689.62634:66 689.71362:81 689.78961:45 689.90417:27
3,neg_1320,Unknown compound,,3,neg,1320,21.963,805.62408,[M-H]-,,,,,,,,,,,,,,,,,,0.4526,0.4175,0.3666,0.3668,0.3373,0.3245,0.3679,0.3311,0.3101,0.3517,0.4317,0.2858,0.3919,0.3748,0.4013,0.4083,0.4093,0.4232,0.403,0.38,0.3947,6.6211,6.0731,4.7909,0.3281,0.2829,0.2619,0.2668,0.2623,54.91727:49 60.24685:26 66.49225:17 68.1032:42 73.75742:23 75.6833:27 76.98897:40 77.52779:69 78.95234:41 79.40466:14 79.55959:35 100.93397:52 101.07549:36 101.21745:44 109.30323:18 114.11526:41 125.82291:26 137.08022:125 139.83304:13 144.58647:151 149.30177:83 152.95888:53 160.59152:40 163.03432:213 165.94736:17 170.77087:84 193.44745:90 206.9252:64 237.63626:97 269.65408:26 272.71619:22 284.11273:15 299.45706:51 303.23013:65 309.26791:23 310.87378:59 333.97711:26 337.46756:53 340.96991:170 349.47418:23 372.74088:44 386.52814:75 393.14218:20 396.45703:11 400.64792:24 405.14938:132 405.73114:83 412.38617:41 420.09225:71 438.54282:10 453.75354:13 458.45041:13 479.23712:26 487.8121:35 499.67828:85 506.25311:11 522.59717:46 523.39722:14 523.52277:36 543.96405:36 553.70892:55 559.07727:26 562.4339:26 564.25952:12 579.84308:16 615.85486:12 623.46069:13 624.00671:29 624.45825:25 627.46942:108 627.52051:3610 627.6499:25 627.69104:77 627.73627:38 627.7926:52 627.82397:52 627.88:39 627.92285:32 627.98486:49 628.0592:29 628.1441:27 628.2334:46 628.26062:35 628.32074:24 628.33856:23 628.52142:625 628.78235:29 628.83472:47 628.94287:28 629.13104:11 629.32507:74 629.63684:15 655.56085:108 656.14368:13 658.91467:24 671.53174:17 686.38055:29 692.51788:10 708.70508:57 714.64813:27 715.586:121 728.37164:75 730.17242:15 745.60065:15 759.55865:26 759.61871:86 765.96295:38 771.12695:20 771.93762:48
4,neg_1007,Unknown compound,,1,neg,1007,24.335,695.3111,[M-H]-,,,,,,,,,,,,,,,,,,1.4353,1.2512,1.3277,1.4054,1.2852,1.3779,1.3718,1.1414,1.1618,1.2884,1.2697,1.0397,1.3959,1.3443,1.3777,1.3159,1.263,1.4913,1.3242,1.461,1.2139,12.2976,13.7382,13.25,1.0121,1.0115,1.0574,1.0722,1.0705,53.1117:22 58.83043:13 58.84192:31 59.01375:676 59.04351:17 59.49342:16 59.53698:30 74.95592:22 76.6581:13 83.02357:128 98.06743:13 126.4225:36 171.53157:35 175.79565:29 186.49277:31 188.2392:16 215.67598:15 236.43726:10 265.01532:19 273.75278:36 285.51257:41 285.98257:10 300.10641:17 308.02457:279 311.39758:73 320.6463:101 351.71179:61 355.04388:30 378.9693:10 400.04694:37 411.02252:25 463.18329:62 473.14578:31 476.8761:37 485.51407:22 486.62961:12 545.0163:66 577.00818:25 592.51471:53 603.17053:13 630.60455:21 635.60626:44 637.28137:23 653.31683:92 659.28003:10 686.44403:35 691.6319:29 694.26941:18 695.24329:147 695.31073:4243 695.43274:39 695.53638:14 695.61877:111 695.7558:51
5,neg_1008,Unknown compound,,1,neg,1008,24.154,695.31116,[M-H]-,,,,,,,,,,,,,,,,,,1.4733,1.3045,1.3647,1.4303,1.3362,1.3795,1.4453,1.2035,1.1757,1.3179,1.379,1.0668,1.4502,1.3892,1.454,1.4019,1.3736,1.5584,1.3618,1.4994,1.2518,12.421,14.4122,13.5699,1.0423,1.0286,1.0495,1.111,1.1026,50.47303:26 53.59168:79 55.06192:36 55.46166:40 59.0144:862 59.23096:39 59.60596:15 61.96817:15 61.98833:135 65.39224:106 65.40525:16 68.81603:23 74.22496:15 77.53532:13 85.4238:49 85.58759:26 86.49664:25 90.60759:18 98.70307:20 113.04431:25 113.06664:20 114.20579:13 115.94927:246 115.97839:14 135.20731:82 149.16089:64 158.63689:13 158.65883:17 159.323:22 163.96182:186 167.55334:192 202.075:26 303.86926:34 316.38562:24 331.03006:18 349.72675:44 382.21979:80 426.09073:15 445.1554:57 502.19379:28 511.21478:44 531.38507:81 565.20569:64 587.98083:20 593.59857:73 593.633:13 598.375:69 612.96674:57 613.40649:15 627.89398:72 627.92432:24 653.73944:149 654.2475:39 690.65149:20 691.01733:19 691.06763:37 692.04474:19 692.66809:58 695.31165:3726 695.41541:57 695.46515:54 695.54272:28 695.64368:49 695.72443:75 695.78198:56
6,neg_1010,Unknown compound,,2,neg,1010,11.113,695.31165,[M+Cl]-,,,,,,,,,,,,,,,,,,1.2389,0.9827,1.0992,1.0692,0.991,1.1033,1.1205,0.9382,0.9348,1.0672,1.177,0.8423,1.1166,1.0849,1.0917,1.1333,1.1084,1.2384,1.1117,1.1575,1.0775,2.6062,3.093,2.5324,0.8267,0.78,0.8409,0.8803,0.8022,50.55663:13 56.28295:76 58.99094:69 59.01381:512 59.1834:25 67.94579:37 70.82047:15 74.59908:61 75.43887:57 78.11869:32 84.09296:36 95.43521:44 100.144:64 105.58209:25 116.42406:181 143.43042:48 143.79579:23 145.3533:57 151.89478:192 177.6467:17 187.48709:29 190.96718:22 197.30975:26 210.97098:12 214.94354:22 219.77954:24 225.09306:88 243.69197:23 256.4422:23 263.02945:32 267.25192:35 276.07315:25 279.03952:18 285.0506:47 329.1181:10 331.8392:20 333.97339:33 384.59836:77 394.5578:84 401.81183:13 425.05237:40 427.69342:43 438.64713:89 438.68011:18 441.13742:43 448.62329:18 456.95807:22 457.82831:20 473.15536:68 473.7821:16 474.14777:128 474.21649:10 489.99405:56 490.02588:10 496.15518:68 505.3313:31 531.66821:79 533.71033:283 533.76697:21 541.73273:44 577.65283:34 590.69873:62 598.05377:28 609.90961:10 610.82666:40 619.62164:22 632.9469:33 634.57037:59 634.68817:31 635.46802:15 636.32721:83 645.22418:76 648.03204:20 653.39111:39 674.59448:41 690.81354:15 691.11487:40 691.28864:12 695.18805:26 695.31067:2984 695.45459:208 695.60864:28 695.67279:36 695.80121:34
7,neg_162,Simple ID,Other possible annotated peaks for this cluster.,29,neg,162,23.116,255.23245,[M-H]-,generic,Spectral DB search,FA 16:0,8.666,8.666,Unknown,3,19,255.2325,[M-H]-,-1,0,5,FA,IPCSVZSSVZVIGE-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCCCC,,1.2833,1.0448,1.0955,1.1621,1.1243,1.1179,1.1526,0.9217,0.9754,1.0556,1.244,0.9169,1.2031,1.1901,1.1798,1.2264,1.0838,1.3376,1.1796,1.2065,1.0846,12.7236,13.7853,14.2468,0.74,0.7976,0.8373,0.8793,0.8223,53.98161:66 62.62768:159 71.13693:15 74.02905:92 74.31641:43 104.77596:61 112.25536:147 124.03452:16 163.83154:15 176.93129:17 177.8643:40 197.57214:71 207.00584:11 217.39952:38 218.47264:27 255.2319:2169 255.28165:51 255.31819:15 255.56827:32
8,neg_1014,Unknown compound,,1,neg,1014,23.992,695.31207,[M-H]-,,,,,,,,,,,,,,,,,,1.4871,1.321,1.3601,1.4454,1.3362,1.4074,1.4804,1.2233,1.1991,1.3098,1.436,1.0756,1.4665,1.4234,1.4932,1.4221,1.4005,1.6199,1.4075,1.4994,1.3243,12.421,14.4972,13.9018,1.0175,1.0359,1.0496,1.1301,1.0905,58.78032:17 59.01301:776 63.89326:12 64.39179:178 64.4836:22 66.62212:21 70.97775:11 71.59602:39 85.50701:11 122.80256:32 134.33488:56 171.80421:25 176.16998:20 195.18268:15 222.15999:72 272.31424:92 339.55795:28 350.24811:38 398.02185:31 402.5625:14 446.328:36 454.42017:39 478.56677:58 492.55255:28 505.33133:78 525.67194:20 546.33588:42 551.98853:44 592.1925:49 613.60461:20 617.79645:50 639.20459:23 647.81128:31 667.62061:39 669.87878:21 677.88641:46 682.36993:18 690.6676:63 690.78455:31 693.70483:36 695.18524:68 695.31256:4780 695.42578:51 695.53912:34 695.57916:38 695.64233:19 695.68964:22 695.72626:19
9,neg_170,Simple ID,Other possible annotated peaks for this cluster.,16,neg,170,4.285,255.23482,[M-H]-,generic,Spectral DB search,FA 16:0,8.7373,8.7373,Unknown,3,11,255.2348,[M-H]-,-1,0,5,FA,IPCSVZSSVZVIGE-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCCCC,,112.6177,102.5633,108.8897,109.2753,101.4482,98.7917,98.3413,94.6794,95.3594,101.2468,105.6068,90.4035,108.3938,111.1504,110.8269,103.2889,104.1221,112.9039,102.7727,113.5015,106.8253,24.0002,26.8348,25.4563,90.9006,90.9947,88.8857,92.6723,90.6252,96.07474:54 181.71233:57 237.4503:19 253.65919:14 255.23442:4864 255.35884:57 255.51465:24 255.55298:46 255.57527:23 255.61549:24 255.66347:16
10,neg_102,Simple ID,,4,neg,102,1.102,221.1543,[M-H]-,generic,C14H22O2,"2,6-Di-tert-butyl-1,4-benzenediol",5.5409,5.5409,Unknown,3,21,221.1543,[M-H]-,222.1619799,0.0004035,3.031,Phenylpropanes,JFGVTUJBHHZRAB-UHFFFAOYSA-N,OC=1C=C(C(O)=C(C1)C(C)(C)C)C(C)(C)C,"HMDB=HMDB0040178,FooDB=FDB019890,UNPD=UNPD98948,COCONUT=CNP0333275",0.5817,0.2886,0.3026,0.2829,0.3298,0.2046,0.2204,0.426,0.2805,0.2683,0.5183,0.2201,0.2777,0.2593,0.317,0.1855,0.214,0.2384,0.222,0.2916,0.2606,1.4242,1.0357,1.1776,0.1812,0.1693,0.1487,0.1875,0.1791,57.27634:23 59.32016:24 76.0193:19 80.5143:49 91.72302:49 94.70651:50 101.25583:37 131.29158:11 144.10548:30 149.05963:42 153.55284:27 164.25873:32 165.0267:165 165.05298:22 189.08965:158 203.37413:191 204.92635:52 221.15555:464 221.19376:29 221.42409:17 221.56056:15
