cluster,selected_feature,annotation_result,annotation_warning,cluster.size,source,Alignment.ID,Average.Rt.min.,Average.Mz,Adduct.type,level,Formula,Structure,Total.score,Final.score,Title,MS1.count,MSMS.count,PRECURSORMZ,PRECURSORTYPE,Theoretical.mass,Mass.error,Formula.score,Ontology,InChIKey,SMILES,Links,Chow..1,Chow..2,Chow..3,Chow..4,Chow..5,Chow..6,Chow..7,Chow..8,Chow..9,Chow..10,Chow..11,Chow..12,Chow..13,Chow..14,Chow..15,Chow..16,Chow..17,Chow..18,Chow..19,Chow..20,Chow..21,Blank.1,Blank.2,Blank.3,High.Fat..1,High.Fat..2,High.Fat..3,High.Fat..4,High.Fat..5,High.Fat..6,High.Fat..7,High.Fat..8,High.Fat..9,High.Fat..10,High.Fat..11,High.Fat..12,High.Fat..13,High.Fat..14,High.Fat..15,High.Fat..16,High.Fat..17,High.Fat..18,QC.1,QC.2,QC.3,QC.4,QC.5,QC.6,QC.7,MS.MS.spectrum
1,pos_10254,Double ID,Other possible annotated peaks for this cluster.,10,pos,10254,9.749,683.47131,[M+Na]+,generic,C35H69N2O7P,"PE-Cer(d15:2(4E,6E)/18:0(2OH))",5.0625,5.0625,DG 40:10,3,5,683.4713,[M+Na]+,660.484239178,0.0021599,3.063,Phosphoethanolamines,IWXIRCFOOPOFIG-DBNJZWFXNA-N,O=C(NC(COP(=O)(O)OCCN)C(O)C=CC=CCCCCCCCC)C(O)CCCCCCCCCCCCCCCC,LipidMAPS=LMSP03020076,0.0138,0.0121,0.0092,0.0996,0.0955,0.0961,0.0787,0.0761,0.0768,0.0311,0.0303,0.0296,0.0603,0.0568,0.0584,0.0564,0.061,0.0586,0.0215,0.02,0.0174,0.0021,0.0136,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0.0385,0.0405,0.0436,0.0416,0.0392,0.0412,102.12914:38 177.05489:48 413.21054:27 648.47571:38 683.4718:901
2,neg_10003,Simple ID,,1,neg,10003,9.989,774.53265,[M+HCOO]-,generic,C40H76NO8P,PE-NMe(18:1(9Z)/16:1(9Z)),4.4409,4.4409,PC 32:2|PC 16:1_16:1,3,24,774.5327,[M+HCOO]-,729.530855022,-0.0036424,2.424,Monomethylphosphatidylethanolamines,AMEQGEMIPSZKLL-FESQGUELSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCC)COP(=O)(O)OCCNC)CCCCCCCC=CCCCCCCCC,HMDB=HMDB0113141,0.0443,0.0433,0.0425,0.0856,0.0825,0.0837,0.0525,0.0541,0.0553,0.0631,0.0673,0.0655,0.0394,0.0416,0.0419,0.0656,0.0687,0.0684,0.1088,0.1134,0.1121,0.0492,0.055,0.0657,0,0,0,0.0394,0.0418,0.0427,0.0475,0.045,0.0578,0.0412,0.0406,0.0361,0.0234,0.0258,0.0271,0.0036,0.0058,0.0138,0.0455,0.0437,0.0479,0.0455,0.0463,0.0479,0.0429,67.85588:28 68.65426:14 74.66979:51 88.22128:45 167.51917:43 199.57515:70 253.21265:136 423.70984:18 423.99655:12 439.05634:28 507.53513:29 553.34839:11 574.15198:225 574.53497:10 580.48987:66 660.46173:17 692.26965:195 714.51215:327 715.01953:11 715.67023:20 728.56903:38 758.76367:50 770.28027:19 774.52625:407
3,neg_6107,Double ID,,7,neg,6107,13.026,628.55273,[M+FA-H]-,generic,C36H73NO4,N-(2-hydroxyhexadecanoyl)eicosasphinganine,5.2013,5.2013,Cer 36:0;O3|Cer 19:0;O2/17:0(3OH),3,36,628.5527,[M+FA-H]-,583.553959816,-0.0005376,2.924,Long-chain ceramides,RRAZIZSGJDNXLF-GWDKEWMYSA-N,O=C(NC(CO)C(O)CCCCCCCCCCCCCCCCC)C(O)CCCCCCCCCCCCCC,"ChEBI=CHEBI:67018,LipidMAPS=LMSP02020035",0.58,0.5385,0.5662,0.6453,0.6324,0.6133,0.7233,0.734,0.712,0.5757,0.6191,0.5841,0.7168,0.6951,0.7067,0.689,0.6596,0.6929,0.6482,0.6714,0.6728,0.3081,0.3675,0.4837,9.5822,9.8275,9.7249,5.659,5.9313,5.7554,5.9949,5.9387,6.1883,3.9206,3.831,4.022,6.227,5.9845,5.9848,6.3282,6.7141,6.4069,2.314,2.3777,2.3384,2.4296,2.3983,2.4189,2.4283,54.44711:40 57.03422:191 84.04411:107 127.61154:28 175.50609:13 214.86095:13 253.24706:110 279.22876:139 308.29584:38 324.28934:109 324.34167:12 342.29758:26 342.42621:35 342.68964:13 344.43033:21 356.31638:659 356.40082:24 356.47958:50 356.72171:19 357.01718:10 357.31952:63 357.60858:29 357.70706:22 358.90442:18 368.37097:81 370.32864:88 388.98856:56 479.79132:32 479.87979:23 502.15488:23 582.54492:388 582.60181:23 583.86914:16 584.3576:60 628.54059:92 628.95111:35
4,neg_4912,Simple ID,Other possible annotated peaks for this cluster.,34,neg,4912,12.902,584.52631,[M+FA-H]-,generic,C34H69NO3,Cer(d18:0/16:0),5.531,5.531,Unknown,3,10,584.5263,[M+FA-H]-,539.527745068,-0.0003524,2.977,Long-chain ceramides,GCGTXOVNNFGTPQ-JHOUSYSJSA-N,O=C(NC(CO)C(O)CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCC,"HMDB=HMDB0011760,ChEBI=CHEBI:67042,FooDB=FDB028430,BMDB=BMDB11760,LipidMAPS=LMSP02020001,Serum=HMDB0011760,PubChem=5283572,BLEXP=BLEXPDB00005283572,COCONUT=CNP0170922",1.1777,1.1851,1.1945,1.3679,1.3395,1.3471,3.8262,3.9911,3.9005,2.9014,2.9885,2.9013,3.9853,3.9471,3.904,1.3242,1.3723,1.3838,1.3905,1.3556,1.4085,0.3646,0.5162,0.6536,2.2659,2.3095,2.3518,2.4399,2.5629,2.4423,2.7116,2.6673,2.6916,1.2685,1.2485,1.2904,2.7185,2.7576,2.6508,1.71,1.7898,1.658,2.0375,2.0224,1.9968,2.0476,1.9868,1.9852,1.9931,57.55748:13 237.22415:85 270.19745:31 426.46838:15 496.14081:23 506.49094:68 534.55188:61 538.51807:528 539.60083:34 540.41656:14
5,neg_5462,Double ID,Other possible annotated peaks for this cluster.,42,neg,5462,12.012,604.50891,[M+Cl]-,generic,C35H71NO4,Cer(d18:0/h17:0),5.9259,5.9259,Unknown,3,27,604.5089,[M+Cl]-,569.538309752,-0.001189,3.583,Long-chain ceramides,SKUYODQAHZTUFS-IHTLAXJGNA-N,O=C(NC(CO)C(O)CCCCCCCCCCCCCCC)C(O)CCCCCCCCCCCCCCC,"LipidMAPS=LMSP02020019,UNPD=UNPD102882,NPA=NPA004858,COCONUT=CNP0229274",7.4926,7.1613,7.2713,7.4642,7.1498,7.2695,8.7045,8.7575,9.0301,8.846,9.2869,9.0376,9.1401,8.9561,9.3068,6.3027,6.1646,6.4792,3.017,3.2829,3.1833,0.5627,0.5234,0.4295,7.3942,7.5636,5.9926,6.3606,6.1994,6.5315,4.9261,4.7846,4.9156,14.4848,14.4547,13.9561,7.3,6.6374,7.2258,6.749,7.3462,7.4156,7.8565,7.841,7.9677,8.2431,7.8476,8.0864,8.0878,61.19123:12 108.24361:12 130.82896:54 188.55986:29 197.74246:25 213.722:11 260.29684:154 342.29953:511 343.29504:78 414.26059:170 467.63232:38 562.70789:10 566.51056:243 566.58966:58 566.64746:18 567.51746:94 567.92108:20 568.52783:333 568.60162:15 568.62628:12 569.36371:11 570.38354:30 600.72699:18 600.76947:18 602.10767:12 604.15967:47 604.50891:5822
6,neg_9937,Simple ID,Other possible annotated peaks for this cluster.,8,neg,9937,13.341,771.56396,[M+HCOO]-,generic,C41H79N2O6P,"N-oleoyl-(4E,14Z)-sphingadienine-1-phosphocholine",4.8582,4.8582,MGDG O-33:2|MGDG O-18:2_15:0,3,43,771.564,[M+HCOO]-,726.567574878,0.0017775,2.681,Phosphocholines,YMTVMVYOUDDTQJ-UOMMIRHQSA-N,O=C(NC(COP(=O)([O-])OCC[N+](C)(C)C)C(O)C=CCCCCCCCCC=CCCC)CCCCCCCC=CCCCCCCCC,"ChEBI=CHEBI:105799,LipidMAPS=LMSP03010047,BLEXP=BLEXPDB00052931155,COCONUT=CNP0157979",4.0726,3.8692,4.0525,7.2604,7.1356,7.1388,5.6468,5.7477,5.5789,6.7118,7.0881,6.9101,11.0035,10.9552,11.3515,12.7783,12.9958,13.1945,6.4161,6.5969,6.646,0.5678,0.6062,0.3522,0.061,0.0644,0.0581,0.0263,0.0246,0.0234,0.0532,0.0448,0.0496,0.0467,0.046,0.0364,0.0736,0.0786,0.0887,0.0771,0.0872,0.0894,3.9144,3.8336,3.8779,4.007,4.0381,3.9372,4.004,69.03326:81 88.56081:17 92.6139:52 100.93328:132 101.02695:52 112.98553:227 113.02355:59 113.03551:22 161.27701:18 234.61887:28 235.22189:39 239.73134:42 241.21527:1477 242.22205:269 242.25273:74 255.23582:125 255.87413:14 255.9402:22 256.41919:23 269.25046:121 270.25327:73 290.68616:12 469.90775:24 474.31039:63 483.32767:35 483.46454:13 487.3251:20 487.54648:18 488.46765:24 489.34177:45 501.311:206 501.34326:145 501.62912:20 725.55585:1577 726.32996:35 726.56824:58 728.17358:25 735.62091:87 743.87299:12 766.34509:15 768.32727:58 771.56183:813 771.63391:83
7,neg_10015,Simple ID,,3,neg,10015,17.861,774.63885,[M-H]-,generic,C44H90NO7P,PC(o-18:0/18:0),4.8898,4.8898,Unknown,3,15,774.6389,[M-H]-,775.64549085,-0.0006856,2.688,"1-alkyl,2-acylglycero-3-phosphocholines",BKEDGKIMIUGHDV-VZUYHUTRSA-N,O=C(OC(COCCCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCCCCCCCCCCC,"HMDB=HMDB0013417,ChEBI=CHEBI:86239,YMDB=YMDB02268,FooDB=FDB029417,LipidMAPS=LMGP01020091,Serum=HMDB0013417,COCONUT=CNP0001584",0,0.002,0,0.0023,0,0.0046,0.3261,0.3457,0.3192,0.6354,0.7144,0.6777,0.2954,0.2753,0.3034,0.2497,0.2169,0.2417,0.0328,0.0347,0.0385,0.0085,0.0133,0.006,0,0,0.0052,0.0072,0.0095,0.0088,0.0072,0.0078,0.008,0,0.002,0,0.0302,0.0235,0.014,0.0305,0.0254,0.0332,0.0745,0.1268,0.1402,0.152,0.1549,0.1512,0.1583,59.01482:256 59.04322:20 73.80134:32 337.39618:90 399.03864:17 414.88528:70 418.36719:20 544.89453:19 679.65454:36 728.46765:134 738.64514:124 769.84259:11 773.21185:25 774.63599:617 774.88574:32
8,neg_10728,Unknown compound,,15,neg,10728,17.831,806.64923,[M-H]-,,,,,,,,,,,,,,,,,,0.1754,0.1638,0.1294,0.0784,0.0667,0.1054,0.202,0.2055,0.237,0.0654,0.0598,0.0627,0.2321,0.2227,0.2336,0.6065,0.5884,0.6056,0.2735,0.6318,0.6101,0.0269,0.0312,0,0.0048,0.004,0.0032,0.0028,0,0.0058,0.0028,0.0124,0.002,0,0,0.0037,0.0037,0.0034,0.0031,0.0012,0.0101,0.0033,0.1845,0.136,0.1346,0.1995,0.1362,0.1361,0.1681,50.29523:25 52.54263:40 57.14153:27 68.99681:127 69.34777:14 73.32488:147 73.87602:58 92.3786:19 99.83227:13 106.18468:11 112.98554:1003 113.02452:30 113.4349:24 113.98795:125 118.76006:13 202.31325:93 209.45467:45 212.78993:24 243.91417:38 257.84595:16 276.29529:54 276.31528:17 282.74918:12 317.13385:12 322.21021:201 361.70877:60 525.44568:19 540.56085:25 601.81842:18 602.25287:20 609.56757:11 663.27869:113 724.33636:24 760.61279:203 760.74908:58 761.6156:67 779.09711:34 806.65314:24 806.71295:12
9,neg_10017,Unknown compound,,2,neg,10017,17.66,774.65314,[M-H]-,,,,,,,,,,,,,,,,,,0.126,0.1042,0.1362,0.0562,0.0558,0.0522,0,0,0,0,0,0,0,0,0,0.0717,0.0752,0.0806,0.0183,0.0233,0.0317,0.0177,0.1093,0.1139,0.0377,0.0334,0.0258,0.0122,0.0186,0.017,0.0062,0.0043,0.0049,0.0098,0.0045,0.0089,0.05,0.0386,0.0452,0.0275,0.0283,0.0303,0.0188,0.0241,0.0013,0.0176,0.0215,0.0158,0.0194,67.58431:62 88.07398:10 137.13641:27 223.39507:48 503.52316:10 678.64728:27 729.49908:150 749.76324:65 749.80096:14 774.56586:67 774.63861:576 775.09778:72
10,pos_10123,Simple ID,Other possible annotated peaks for this cluster.,49,pos,10123,19.379,678.67651,[M+H]+,generic,C44H87NO3,Cer(d18:1/26:0),6.3933,6.3933,Cer 44:1;O2|Cer 20:1;O2/24:0,3,23,678.6765,[M+H]+,677.668595644,-0.0006279,3.079,Ceramides,CJROVRTUSFQVMR-GVOPMEMSSA-N,O=C(NC(CO)C(O)C=CCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCCCCCCCCC,"HMDB=HMDB0004955,ChEBI=CHEBI:72968,FooDB=FDB023542,BMDB=BMDB04955,LipidMAPS=LMSP02010011,Feces=HMDB0004955,Serum=HMDB0004955,PubChem=5283570,COCONUT=CNP0336108",0.0503,0.0613,0.0505,0.0412,0.0421,0.0417,0.0418,0.0511,0.0493,0.0381,0.0298,0.0298,0.0363,0.0373,0.034,0.1223,0.0373,0.1164,0.0949,0.0816,0.0771,0.0016,0.0137,0.011,0.231,0.0439,0.2583,0.1402,0.1311,0.1332,0.0896,0.0941,0.0952,0.0921,0.0852,0.0931,0.2987,0.288,0.2908,0.2993,0.2899,0.284,0.0985,0.1004,0.0981,0.0932,0.0991,0.0949,0.0989,60.04462:94 121.09648:196 121.12614:20 242.19623:73 264.26712:789 264.32947:18 280.29752:49 282.2735:27 291.23804:36 292.29858:302 292.71887:31 294.2724:12 307.31885:157 310.30722:120 359.36234:16 368.3866:69 630.64948:211 642.65002:80 660.59131:46 660.66467:169 661.62549:18 678.57837:22 678.64172:43
