cluster,selected_feature,annotation_result,annotation_warning,cluster.size,source,Alignment.ID,Average.Rt.min.,Average.Mz,Adduct.type,level,Formula,Structure,Total.score,Final.score,Title,MS1.count,MSMS.count,PRECURSORMZ,PRECURSORTYPE,Theoretical.mass,Mass.error,Formula.score,Ontology,InChIKey,SMILES,Links,Chow..1,Chow..2,Chow..3,Chow..4,Chow..5,Chow..6,Chow..7,Chow..8,Chow..9,Chow..10,Chow..11,Chow..12,Chow..13,Chow..14,Chow..15,Chow..16,Chow..17,Chow..18,Chow..19,Chow..20,Chow..21,Blank.1,Blank.2,Blank.3,High.Fat..1,High.Fat..2,High.Fat..3,High.Fat..4,High.Fat..5,High.Fat..6,High.Fat..7,High.Fat..8,High.Fat..9,High.Fat..10,High.Fat..11,High.Fat..12,High.Fat..13,High.Fat..14,High.Fat..15,High.Fat..16,High.Fat..17,High.Fat..18,QC.1,QC.2,QC.3,QC.4,QC.5,QC.6,QC.7,MS.MS.spectrum
1,neg_10000,Simple ID,Other possible annotated peaks for this cluster.,3,neg,10000,13.556,817.56262,[M-H]-,generic,C51H78O8,staphyloxanthin,3.9994,3.9994,Unknown,3,25,817.5626,[M-H]-,818.569669456,-0.000207,2.402,Triterpenoids,PDOUICUKTQRPHO-MENSNCDRSA-N,O=C(OC1OC(COC(=O)CCCCCCCCCCC(C)CC)C(O)C(O)C1O)C(=CC=CC(=CC=CC(=CC=CC=C(C=CC=C(C)CCC=C(C)C)C)C)C)C,"ChEBI=CHEBI:71690,PubChem=56928085,BLEXP=BLEXPDB00056928085,COCONUT=CNP0308214",0.1008,0.0971,0.1006,0.0523,0.0516,0.0612,0,0,0,0,0,0,0,0,0,0.069,0.0726,0.0751,0.1015,0.1254,0.1133,0.0093,0.0043,0,0,0.0013,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0,0.0353,0.0398,0.013,0.0419,0.0347,0,0,56.48404:19 64.4564:77 112.98348:18 147.07553:48 160.26256:54 161.56436:10 281.24786:209 298.93323:43 401.02246:132 404.38971:19 416.95633:30 459.3501:33 515.45483:29 657.53381:16 753.65948:20 757.59131:84 759.50256:31 771.62024:79 772.50641:10 772.78607:24 776.84937:25 779.51569:31 813.0752:30 816.69513:28 817.56158:829
2,neg_10014,Simple ID,Other possible annotated peaks for this cluster.,2,neg,10014,12.888,818.57208,[M-H]-,generic,C47H82NO8P,"PE(20:4(5Z,8Z,11Z,14Z)/22:2(13Z,16Z))",4.2883,4.2883,Unknown,3,11,818.5721,[M-H]-,819.577805214,-0.0015712,2.503,Phosphatidylethanolamines,AAISZNAPQHMCLT-UNCBVPCZSA-N,O=C(OCC(OC(=O)CCCCCCCCCCCC=CCC=CCCCCC)COP(=O)(O)OCCN)CCCC=CCC=CCC=CCC=CCCCCC,"HMDB=HMDB0009404,FooDB=FDB026594,BMDB=BMDB09404,LipidMAPS=LMGP02010959,COCONUT=CNP0164073",0.0728,0.0783,0.0749,0.1167,0.114,0.1108,0,0,0,0,0,0,0,0,0,0.0653,0.067,0.0687,0.0512,0.0474,0.049,0.0331,0.0157,0.0119,0,0.0023,0.0019,0,0,0.002,0.0019,0,0.0013,0.0021,0.0019,0.003,0,0.0022,0,0.0013,0.0014,0,0.0202,0.0192,0.0188,0.0182,0.0165,0.0193,0.0139,80.82158:48 121.70471:20 137.95311:25 272.76535:11 273.65198:18 446.34473:27 677.27789:39 813.12341:17 813.5415:10 817.82983:17 818.57037:337
3,neg_10009,Unknown compound,,1,neg,10009,13.578,817.66669,[M-H]-,,,,,,,,,,,,,,,,,,0,0.0017,0.001,0.0028,0,0,0.0133,0.0106,0.0066,0.0201,0.018,0.021,0.0033,0.0076,0.0087,0.0035,0.0021,0.0062,0,0.0013,0,0.0556,0.0503,0.0276,0,0.0033,4e-4,0.0191,0.0164,0.0137,0.0179,0.016,0.0181,0.0172,0.0183,0.0083,0,0,0,0,0,0,0.006,0.0087,0.0087,0.0098,0.0058,0.0072,0.0019,71.87911:11 90.68336:39 235.17072:82 235.35384:18 281.25143:126 282.25082:71 282.5661:13 306.20557:132 306.24243:24 331.64291:33 494.32407:18 576.55823:40 576.7439:38 588.74164:43 590.86932:36 591.54285:19 631.54022:44 638.44165:29 662.10468:14 704.56805:71 705.98639:22 750.53363:130 752.41962:10 757.52563:70 757.59644:730 758.38031:15 758.47626:35 758.58893:85 758.84937:19 781.6554:63 817.60968:53 817.67688:198
4,neg_5421,Simple ID,Other possible annotated peaks for this cluster.,2,neg,5421,12.944,615.44202,[M-H]-,generic,C41H60O4,Oryzanol C,4.3813,4.3813,Unknown,3,23,615.442,[M-H]-,616.4491604,-0.0001161,2.781,Cycloartanols and derivatives,JBSUVXVGZSMGDJ-GHRIWEEINA-N,O=C(OC1CCC23CC43CCC5(C)C(CCC5(C)C4CCC2C1(C)C)C(C)CCC(=C)C(C)C)C=CC6=CC=C(O)C(OC)=C6,"HMDB=HMDB0035121,FooDB=FDB013754,UNPD=UNPD170000;UNPD180895;UNPD18857;UNPD69624,COCONUT=CNP0384450",0.048,0.0422,0.0451,0.0468,0.0404,0.0414,0.0562,0.0615,0.0619,0.0715,0.0676,0.0636,0.0699,0.0717,0.0678,0.025,0.0244,0.0265,0.0226,0.025,0.0297,0.0766,0.1459,0.1512,2e-4,0,0,0,0,3e-4,6e-4,0,0,4e-4,0,7e-4,0,0,0,0,0,0,0.0259,0.0242,0.0252,0.0247,0.025,0.0241,0.0263,74.71965:67 74.78994:26 76.06926:70 86.99818:75 163.49118:83 175.93138:61 188.71764:19 232.85007:50 343.30313:232 343.41776:16 373.73163:27 435.12167:32 490.82205:29 501.39017:117 507.60327:59 561.88519:38 598.51196:81 600.41351:164 601.40509:14 612.27423:10 615.44086:386 615.52338:42 615.74579:13
5,neg_10015,Simple ID,,1,neg,10015,13.349,818.5918,[M-H]-,generic,C44H86NO10P,PS(20:0/18:0),5.0602,5.0602,Unknown,3,30,818.5918,[M-H]-,819.598934582,-0.0001419,3.254,Phosphatidylserines,ALHYOYYGOVGUJA-ZFESHMOZSA-N,O=C(OCC(OC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O)CCCCCCCCCCCCCCCCCCC,"HMDB=HMDB0112516,LipidMAPS=LMGP03010952",0.0757,0.07,0.0734,0.0839,0.08,0.0917,0.1521,0.1339,0.1057,0.1495,0.1573,0.1539,0.1107,0.1349,0.1241,0.0476,0.0459,0.0494,0.1024,0.0882,0.0873,0.1258,0.0929,0.0854,0.0163,0.0103,0.026,0.0775,0.1731,0.1114,0.0748,0.0665,0.0739,0.0707,0.0709,0.071,0.0444,0.0399,0.0406,0,0.0054,0.0041,0.0667,0.074,0.0742,0.0821,0.0928,0.1031,0.0964,60.7112:26 60.93647:64 96.8856:104 107.72171:32 131.13994:13 135.01732:23 171.22856:25 281.24506:230 281.52191:14 295.82498:76 300.29346:24 326.70621:27 331.71964:15 367.65146:65 404.81693:26 520.18536:28 552.93695:21 656.43933:19 753.3656:65 756.54529:22 758.57269:394 758.776:28 759.25317:16 759.52142:21 759.55951:16 772.62335:36 772.67505:26 818.59326:280 818.91095:22 818.97803:32
6,neg_10016,Simple ID,Other possible annotated peaks for this cluster.,3,neg,10016,2.349,818.59186,[M-H]-,generic,C44H86NO10P,PS(20:0/18:0),4.6968,4.6968,Unknown,3,35,818.5919,[M-H]-,819.598934582,-0.0002419,2.999,Phosphatidylserines,ALHYOYYGOVGUJA-ZFESHMOZSA-N,O=C(OCC(OC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O)CCCCCCCCCCCCCCCCCCC,"HMDB=HMDB0112516,LipidMAPS=LMGP03010952",0.0272,0.0242,0.0253,0.0109,0.0124,0.0108,0.0601,0.0643,0.0611,0.0315,0.0316,0.0312,0.071,0.0693,0.0735,0.0034,0.0031,7e-4,6e-4,0.0019,5e-4,0,0,0,4e-4,0,3e-4,0.0045,0.0055,0.0041,0.0017,0.0015,0.002,4e-4,4e-4,3e-4,0.0016,7e-4,0.0018,4e-4,7e-4,3e-4,0.0152,0.0132,0.0143,0.0146,0.0153,0.0133,0.0141,54.77115:67 54.78086:17 55.11337:45 68.61972:23 87.63091:23 104.69815:35 141.12813:28 179.93654:30 223.91057:30 244.2267:27 279.2301:83 299.25757:124 299.44458:44 299.74515:14 300.27487:25 389.26279:71 491.28339:12 496.95413:25 500.83588:35 504.31516:665 504.4072:16 504.73218:16 504.86798:15 505.20151:32 505.7717:84 518.34161:69 518.86145:12 575.12903:49 766.32648:42 768.71417:41 797.15363:51 818.59149:533 818.72449:12 818.83386:11 819.04272:20
7,neg_10017,Simple ID,,1,neg,10017,13.192,818.59229,[M-H]-,generic,C44H86NO10P,PS(20:0/18:0),5.0272,5.0272,Unknown,3,20,818.5923,[M-H]-,819.598934582,-0.0006419,3.156,Phosphatidylserines,ALHYOYYGOVGUJA-ZFESHMOZSA-N,O=C(OCC(OC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O)CCCCCCCCCCCCCCCCCCC,"HMDB=HMDB0112516,LipidMAPS=LMGP03010952",0.0985,0.1008,0.0987,0.1812,0.1734,0.1783,0.2789,0.2804,0.2888,0.4888,0.4782,0.4669,0.317,0.3136,0.3168,0.0584,0.0572,0.0603,0.0815,0.1032,0.1018,0.0162,0.0467,0,0.0311,0.0341,0.0264,0.2253,0.2242,0.2172,0.1638,0.1654,0.1744,0.1593,0.1612,0.16,0.0419,0.03,0.026,0.0116,0.0143,0.0117,0.1516,0.1446,0.1441,0.1482,0.152,0.1502,0.1524,62.53566:16 67.59573:66 202.92566:11 243.92105:11 269.24997:113 279.42578:17 281.24988:105 281.89667:27 295.26196:131 386.89755:27 494.32495:106 494.91306:64 495.32883:75 753.65002:29 758.56854:1256 759.57135:79 759.80615:22 773.08563:26 815.05902:18 818.68091:65
8,neg_1515,Simple ID,Other possible annotated peaks for this cluster.,17,neg,1515,4.163,386.29156,[M+FA-H]-,generic,C20H39NO3,N-acetylsphingosine,4.4113,4.4113,Unknown,3,11,386.2916,[M+FA-H]-,341.292994108,-0.0004033,2.762,Ceramides,BLTCBVOJNNKFKC-QUDYQQOWSA-N,O=C(NC(CO)C(O)C=CCCCCCCCCCCCCC)C,"ChEBI=CHEBI:46979;CHEBI:91751;CHEBI:92736,DrugBank=DB06960,LipidMAPS=LMSP02010000;LMSP02010014,BLEXP=BLEXPDB00000002505,COCONUT=CNP0046890",0.0591,0.0646,0.0593,0.1014,0.0971,0.1054,5.3781,5.3555,5.4447,5.0392,4.8606,4.9246,4.0621,4.1545,3.5381,0.0232,0.0217,0.0223,0.0555,0.0558,0.055,0.0551,0.0566,0.0662,0.0081,0.0077,0.0053,0.0811,0.083,0.0783,0.091,0.0877,0.0916,0.4985,0.5169,0.4666,0.0159,0.0165,0.0171,0.0194,0.0232,0.0219,2.1322,2.1712,2.1512,2.1665,2.1631,2.1258,2.1276,71.13543:77 231.28192:30 261.66687:102 282.52472:16 310.27594:524 310.41388:20 311.10315:13 311.61206:32 346.37076:52 368.6012:16 378.7738:45
9,neg_10021,Simple ID,,1,neg,10021,14.921,818.62958,[M-H]-,generic,C45H90NO9P,PS(O-20:0/19:0),3.802,3.802,Unknown,3,34,818.6296,[M-H]-,819.63532009,-0.0015564,2.292,"1-alkyl,2-acyl-glycerol-3-phosphoserines",BWIRZGCRKJQVAS-CATBILHCNA-N,O=C(OC(COCCCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O)CCCCCCCCCCCCCCCCCC,LipidMAPS=LMGP03020057,0.0222,0.0129,0.0013,0.0244,0.0234,0.0248,0.0433,0.042,0.0411,0.0819,0.0821,0.0834,0.0401,0.0435,0.0427,0,0,0,0,0,0.0038,0.0381,0.0203,0.0292,0.0085,0.0086,0.0075,0.0417,0.0311,0.0444,0.0507,0.0509,0.0542,0.0395,0.0379,0.0439,0.015,0.0133,0.0114,0.0067,0.0064,0.0053,0.0265,0.0279,0.0258,0.0244,0.0254,0.0265,0.026,62.13557:18 86.05673:17 215.34183:70 228.59695:143 269.24432:146 279.60617:21 281.2478:73 281.50208:46 281.52313:11 282.01401:24 282.22797:12 394.46558:29 420.28323:72 426.02411:41 431.3494:81 431.39145:17 494.35953:103 494.39026:14 504.94556:99 536.83459:21 713.5423:44 753.42657:18 758.43835:47 758.47614:21 758.60706:659 759.56836:28 759.60736:80 759.86517:17 759.91357:14 762.27979:43 763.12616:33 801.71478:28 816.0719:15 818.59576:22
10,neg_8335,Simple ID,,28,neg,8335,18.972,738.66211,[M+FA-H]-,generic,C44H87NO4,UNPD119963,3.6146,3.6146,Unknown,3,31,738.6621,[M+FA-H]-,693.663510264,-0.0003872,2.165,Secondary alcohols,ZEHOOLFQJBPFJO-ZWPNFKNONA-N,O=C(NC(CO)C(O)C=CCCCCCCCCCCCCCCC)C(O)CCCCCCCCCCCCCCCCCCCCCC,"UNPD=UNPD119963,COCONUT=CNP0259767",0.0098,0.0086,0.0123,0.0065,0.0086,0.0059,0.0138,0.0154,0.01,0.0164,0.0163,0.0158,0.0116,0.0082,0.0079,0.0307,0.0191,0.0322,0.0193,0.0139,0.0137,0.2624,0.0706,0.1592,0.5304,0.5146,0.4587,0.6505,0.7115,0.6757,0.7365,0.7446,0.7406,0.8048,0.8028,0.7492,0.5564,0.5478,0.5454,0.7531,0.8117,0.775,0.1883,0.1901,0.1894,0.1938,0.1886,0.1913,0.1923,52.96021:232 57.79283:173 70.61861:80 73.19846:31 122.73936:43 124.54511:23 152.47533:12 192.19452:60 201.20802:20 211.91162:110 235.87192:58 242.73219:61 277.21323:13 320.87424:82 512.40735:50 517.80109:20 539.97278:19 546.56329:31 567.71503:64 567.76471:11 580.89355:15 601.30603:22 613.03882:20 634.80316:27 636.70416:13 653.92114:16 688.76831:19 692.6554:116 722.91187:47 738.57404:12 738.64557:45
