unique_id,Chow..1,Chow..2,Chow..3,Chow..4,Chow..5,Chow..6,Chow..7,Chow..8,Chow..9,Chow..10,Chow..11,Chow..12,Chow..13,Chow..14,Chow..15,Chow..16,Chow..17,Chow..18,Chow..19,Chow..20,Chow..21,Blank.1,Blank.2,Blank.3,High.Fat..1,High.Fat..2,High.Fat..3,High.Fat..4,High.Fat..5,High.Fat..6,High.Fat..7,High.Fat..8,High.Fat..9,High.Fat..10,High.Fat..11,High.Fat..12,High.Fat..13,High.Fat..14,High.Fat..15,High.Fat..16,High.Fat..17,High.Fat..18,QC.1,QC.2,QC.3,QC.4,QC.5,QC.6,QC.7
label,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Blank,Blank,Blank,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,QC,QC,QC,QC,QC,QC,QC
neg_6107-N-(2-hydroxyhexadecanoyl)eicosasphinganine,0.58,0.5385,0.5662,0.6453,0.6324000000000001,0.6133000000000001,0.7233,0.734,0.712,0.5757,0.6191,0.5841000000000001,0.7168,0.6951,0.7067,0.6890000000000001,0.6596000000000001,0.6929000000000001,0.6482,0.6714,0.6728000000000001,0.30810000000000004,0.3675,0.4837,9.5822,9.8275,9.7249,5.659,5.9313,5.7554,5.9949,5.9387,6.1883,3.9206000000000003,3.831,4.022,6.227,5.9845,5.9848,6.3282,6.7141,6.4069,2.314,2.3777,2.3384,2.4296,2.3983,2.4189,2.4283
neg_5462-Cer(d18:0/h17:0),7.4926,7.1613,7.2713,7.4642,7.1498,7.2695,8.7045,8.7575,9.0301,8.846,9.2869,9.0376,9.1401,8.9561,9.3068,6.3027,6.1646,6.4792,3.017,3.2829,3.1833,0.5627,0.5234,0.4295,7.3942,7.5636,5.9926,6.3606,6.1994,6.5315,4.9261,4.7846,4.9156,14.4848,14.4547,13.9561,7.3,6.6374,7.2258,6.749,7.3462,7.4156,7.8565000000000005,7.841,7.9677,8.2431,7.8476,8.0864,8.0878
pos_10123-Cer(d18:1/26:0),0.050300000000000004,0.0613,0.0505,0.0412,0.042100000000000005,0.0417,0.041800000000000004,0.0511,0.049300000000000004,0.0381,0.0298,0.0298,0.0363,0.0373,0.034,0.1223,0.0373,0.1164,0.0949,0.0816,0.0771,0.0016,0.0137,0.011,0.231,0.0439,0.25830000000000003,0.14020000000000002,0.1311,0.1332,0.0896,0.0941,0.0952,0.0921,0.0852,0.0931,0.2987,0.28800000000000003,0.2908,0.2993,0.2899,0.28400000000000003,0.0985,0.1004,0.0981,0.0932,0.09910000000000001,0.0949,0.0989
pos_14364-1-O-palmitoyl-Cer(d18:1/18:0),0.0746,0.0869,0.0721,0.0329,0.0341,0.0356,0.0543,0.0521,0.0574,0.044700000000000004,0.0442,0.0386,0.056100000000000004,0.0533,0.0522,0.0663,0.027600000000000003,0.07100000000000001,0.0448,0.04,0.0386,0.0,0.0126,0.0109,0.0981,0.0095,0.1102,0.16840000000000002,0.1577,0.1542,0.11710000000000001,0.12050000000000001,0.1199,0.0551,0.0541,0.0505,0.1963,0.20020000000000002,0.1827,0.20350000000000001,0.19540000000000002,0.18,0.0722,0.074,0.0786,0.0737,0.074,0.0673,0.0703
neg_10112,0.5282,0.5,0.5358,0.6019,0.6126,0.6019,0.5167,0.5217,0.5331,0.291,0.3004,0.3035,0.5727,0.5696,0.5582,0.4456,0.4536,0.4642,0.2519,0.5705,0.5474,0.0188,0.3079,0.2836,0.8337,0.7936000000000001,0.7908000000000001,0.7679,0.7218,0.7152000000000001,0.5896,0.6246,0.6236,0.8026000000000001,0.8446,0.7979,0.7411,0.738,0.7056,0.4631,0.4622,0.451,0.4651,0.45740000000000003,0.4752,0.4827,0.46640000000000004,0.4494,0.4576
neg_6858-N-eicosanoyl-4-hydroxysphinganine,0.546,0.5194,0.5707,0.5772,0.5872,0.5635,0.6058,0.6005,0.6048,0.5019,0.5348,0.5146000000000001,0.5730000000000001,0.5656,0.585,0.793,0.7819,0.7964,0.8701000000000001,0.8571000000000001,0.8565,0.0975,0.15230000000000002,0.0654,2.5746,2.5460000000000003,2.3928000000000003,1.2214,1.2718,1.2415,0.9039,0.9073,0.9369000000000001,0.8631000000000001,0.8545,0.849,1.8802,1.8081,1.8693,1.7551999999999999,1.8331,1.8928,0.8722000000000001,0.8744000000000001,0.8849,0.9134,0.9044000000000001,0.9171,0.9079
neg_6433-Cer(d18:0/20:0),0.766,0.7227,0.7683,0.5705,0.5473,0.5688,0.4511,0.4577,0.43420000000000003,0.33490000000000003,0.3488,0.35150000000000003,0.47150000000000003,0.4999,0.49770000000000003,1.1626,1.139,1.2255,1.1153,1.1478,1.1643,0.0555,0.0942,0.14300000000000002,1.1058,1.1046,0.9766,0.7318,0.1965,0.7407,0.5739000000000001,0.5878,0.5932000000000001,0.8751,0.8959,0.8547,2.1938,2.1171,2.1823,2.0013,2.2218,2.1835,0.6997,0.7052,0.7132000000000001,0.7216,0.7182000000000001,0.7068,0.7184
neg_4589-Dieporeticenin,1.1963,1.1334,1.182,0.534,0.5227,0.5241,1.0287,1.0112,1.0246,0.4751,0.498,0.48450000000000004,0.7829,0.8028000000000001,0.8272,0.48,0.5102,0.4904,0.2894,0.2792,0.2838,0.2202,0.2019,0.1484,2.7689,2.8551,2.8583,8.0691,7.9376,7.5389,6.3634,6.4515,6.4928,3.6103,3.6079,3.6918,8.4742,8.8187,8.1974,7.7286,7.6575,7.2729,2.5111,2.4519,2.4754,2.4221,2.4511,2.3694,2.4032999999999998
pos_8823-DG(18:1(9Z)/18:1(9Z)/0:0),4.8064,4.1656,5.036,4.1989,4.0142,3.7968,4.3463,4.1289,4.0484,3.5287,4.1163,3.7707,3.8742,3.7033,3.943,2.9657,3.0439,3.0376,2.0974,2.4049,2.5694,0.0665,0.0635,0.054400000000000004,1.6412,1.8092000000000001,1.5431,4.3228,4.892,4.6885,3.1854,3.0701,3.152,7.3518,6.9604,6.698,3.5343,3.3599,3.55,0.22160000000000002,0.21830000000000002,0.2233,2.6544,2.5766,2.7929,2.784,3.0188,2.9569,3.1745
