unique_id,Chow..1,Chow..2,Chow..3,Chow..4,Chow..5,Chow..6,Chow..7,Chow..8,Chow..9,Chow..10,Chow..11,Chow..12,Chow..13,Chow..14,Chow..15,Chow..16,Chow..17,Chow..18,Chow..19,Chow..20,Chow..21,Blank.1,Blank.2,Blank.3,High.Fat..1,High.Fat..2,High.Fat..3,High.Fat..4,High.Fat..5,High.Fat..6,High.Fat..7,High.Fat..8,High.Fat..9,High.Fat..10,High.Fat..11,High.Fat..12,High.Fat..13,High.Fat..14,High.Fat..15,High.Fat..16,High.Fat..17,High.Fat..18,QC.1,QC.2,QC.3,QC.4,QC.5,QC.6,QC.7
label,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Blank,Blank,Blank,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,QC,QC,QC,QC,QC,QC,QC
"neg_2988-Tritriacontane-16,18-dione",1.3534,1.3365,1.3387,0.5792,0.5841000000000001,0.5749000000000001,1.0842,1.0503,1.0941,1.6176,1.6307,1.5926,1.5314,1.49,1.5984,0.7311000000000001,0.6834,0.7065,0.1262,0.38,0.38580000000000003,0.0907,0.1615,0.1187,0.429,0.4294,0.3987,0.4365,0.20670000000000002,0.4479,0.3483,0.3468,0.3551,0.3123,0.329,0.2963,0.32330000000000003,0.3078,0.3024,0.3337,0.35660000000000003,0.3563,0.5918,0.5854,0.616,0.614,0.5957,0.6037,0.5995
neg_6843-SM(d18:1/14:0),0.2139,0.225,0.20120000000000002,0.11220000000000001,0.1068,0.1148,0.5952000000000001,0.6089,0.5869,0.5519000000000001,0.5805,0.5637,0.842,0.8024,0.8345,0.4183,0.42910000000000004,0.438,0.316,0.31870000000000004,0.3169,0.0413,0.0734,0.041100000000000005,0.6658000000000001,0.5839,0.8122,0.418,0.3779,0.36860000000000004,0.5836,0.5698,0.6213000000000001,1.2319,1.2024,1.3673,1.0565,1.1052,1.0476,1.4167,1.3805,1.2909,0.4123,0.40740000000000004,0.39740000000000003,0.4133,0.3947,0.3976,0.3879
neg_8671-1-O-(alpha-D-galactopyranosyl)-N-pamitoylphytosphingosine,2.5044,2.1345,2.5421,3.5604,3.6188000000000002,3.6019,3.6455,3.6673,3.6855,1.9302000000000001,2.0929,2.0084,2.093,2.0232,2.1273,2.1778,1.903,2.2337,1.2851,1.7027999999999999,1.7101000000000002,0.039400000000000004,0.116,0.0932,0.47790000000000005,0.515,0.31570000000000004,0.4974,0.6366,0.5554,0.6256,0.6174000000000001,0.5819,0.36510000000000004,0.3714,0.28800000000000003,0.43670000000000003,0.3524,0.4292,0.2969,0.3593,0.406,2.3725,2.5437000000000003,2.7668,2.7478,2.8061,2.8073,2.8718
neg_6045-Cer(d18:0/20:0),0.5746,0.5497000000000001,0.5664,0.426,0.40950000000000003,0.4315,0.3277,0.3302,0.3195,0.2611,0.2599,0.2674,0.34790000000000004,0.37160000000000004,0.36960000000000004,0.7879,0.7781,0.8191,0.7578,0.7837000000000001,0.7797000000000001,0.052500000000000005,0.0912,0.1389,0.7533000000000001,0.7283000000000001,0.6653,0.5935,0.1598,0.6011000000000001,0.48650000000000004,0.4938,0.501,0.6904,0.7197,0.6759000000000001,1.4131,1.3703,1.401,1.3033000000000001,1.4643000000000002,1.4401000000000002,0.5124000000000001,0.5121,0.5103,0.5153,0.5129,0.5077,0.5101
neg_4162-UNPD110800,0.056600000000000004,0.0526,0.0516,0.0514,0.048400000000000006,0.048400000000000006,0.0644,0.0654,0.0728,0.1033,0.1048,0.10250000000000001,0.0809,0.0751,0.0804,0.0279,0.028800000000000003,0.0267,0.0409,0.032,0.030500000000000003,0.014,0.027800000000000002,0.0166,0.22640000000000002,0.219,0.22870000000000001,0.23170000000000002,0.2716,0.2467,0.306,0.297,0.3003,0.2515,0.2555,0.2543,0.375,0.3687,0.36460000000000004,0.5668000000000001,0.5172,0.5093,0.1233,0.1197,0.1208,0.1192,0.11610000000000001,0.12340000000000001,0.113
neg_2774-tetradecyl oleate,2.5869,2.4861,2.5267,1.363,1.3112,1.3246,1.5917,1.5537,1.6065,1.6294,1.7067,1.6499000000000001,1.8722,1.8275000000000001,1.9796,1.7768000000000002,1.7996,1.8422,0.30710000000000004,1.0855,1.1491,0.13870000000000002,0.7063,0.7312000000000001,1.9338000000000002,1.8711000000000002,1.8668,2.2229,2.2359,2.1831,1.5446,1.5148000000000001,1.5457,1.3585,1.4106,1.3569,1.3185,1.2429999999999999,1.2333,1.1163,1.2295,1.1658,1.2649,1.2928,1.256,1.3263,1.2793,1.3253,1.3405
neg_2321-2-Deoxycastasterone,1.1662,1.1634,1.135,0.9743,0.9837,0.9907,2.2064,2.1646,2.1955999999999998,1.8647,1.8672,1.8769,2.077,2.0503,2.1387,0.4511,0.45420000000000005,0.4499,0.4504,0.47950000000000004,0.47240000000000004,0.0391,0.1287,0.0719,1.4529,1.4078,1.327,1.504,1.5248,1.4682,1.6756,1.6622,1.6682000000000001,1.5887,1.5739,1.6108,2.4968,2.5234,2.5124,2.5137,2.7375,2.6866,1.3199,1.2931,1.2863,1.2984,1.2756,1.2779,1.2816
"neg_2295-(3beta,5alpha,6beta,7alpha,22E,24R)-Ergosta-8,22-diene-3,5,6,7-tetrol",2.6616,2.4936,2.6306000000000003,1.8155999999999999,1.7784,1.8521,2.4264,2.4296,2.4448,1.888,1.9732,1.9034,2.6097,2.5562,2.66,1.4849,1.4968,1.6001,1.9758,1.9178000000000002,1.9368,0.1193,0.1145,0.11460000000000001,1.0033,0.9611000000000001,0.9574,1.2439,1.2763,1.2483,1.8515000000000001,1.8536000000000001,1.9632,2.2821,2.2809,2.425,1.9217,1.8034,1.96,2.3296,2.6255,2.4318,1.7324000000000002,1.7473,1.7701,1.7753,1.7031,1.7542,1.7048
neg_11366,0.0035,0.0039000000000000003,0.0036000000000000003,0.0048000000000000004,0.0032,0.0025,0.0021000000000000003,0.0023,0.0031000000000000003,0.0032,0.0024000000000000002,0.0018000000000000002,0.0053,0.0045000000000000005,0.0067,0.0054,0.0041,0.0074,0.0009000000000000001,0.0049,0.008,0.005,0.0077,0.010700000000000001,0.057,0.0585,0.0472,0.06,0.0351,0.059800000000000006,0.0775,0.0818,0.08020000000000001,0.061200000000000004,0.06570000000000001,0.0572,0.0194,0.016800000000000002,0.0199,0.0176,0.023,0.0264,0.0134,0.0143,0.015600000000000001,0.0142,0.0146,0.015,0.016300000000000002
